"time" "cases1" "cases2" "cases3"
"1" 1 17827 5874 1687
"2" 2 50749 6692 719
"3" 3 15075 4378 2005
"4" 4 45925 10567 4599
"5" 5 12113 4835 3888
"6" 6 38221 7222 2953
"7" 7 30862 11341 2868
"8" 8 26779 8997 4386
"9" 9 80595 8342 7135
"10" 10 33806 1763 3987
"11" 11 11052 6914 1376
"12" 12 32158 11148 8613
"13" 13 26618 11438 5811
"14" 14 68353 6401 7692
"15" 15 10882 16928 4704
"16" 16 42212 6014 1292
"17" 17 19467 8219 5842
"18" 18 22134 1528 1979
"19" 19 27993 4383 6080
"20" 20 18775 4242 2605
"21" 21 21288 7231 3321
"22" 22 24177 5504 505
"23" 23 13594 1263 1973
"24" 24 6398 1415 480
"25" 25 6604 1096 3686
"26" 26 9105 2095 1589
"27" 27 6686 284 287
"28" 28 8112 1892 551
"29" 29 5087 1048 336
"30" 30 8671 605 1238
"31" 31 3996 285 713
"32" 32 2957 571 149
"33" 33 515 224 1517
"34" 34 1999 333 317
"35" 35 3263 372 192
"36" 36 1871 419 503
"37" 37 1209 170 656
"38" 38 344 559 904
"39" 39 1461 268 144
"40" 40 513 746 569
"41" 41 1727 395 181
"42" 42 2435 865 260
"43" 43 1049 1350 284
"44" 44 5723 993 514
"45" 45 3939 1127 333
"46" 46 5760 617 1200
"47" 47 6063 1736 408
"48" 48 8416 1162 796
"49" 49 2828 1316 801
"50" 50 9712 1786 2557
"51" 51 5567 2939 1344
"52" 52 13130 3105 3981
"53" 53 28741 5279 4820
"54" 54 7110 5483 520
"55" 55 41643 3408 1926
"56" 56 36634 9528 2365
"57" 57 42214 4760 6874
"58" 58 34990 4835 5555
"59" 59 44650 11830 5064
"60" 60 35961 3622 12386
"61" 61 99820 7382 4794
"62" 62 33881 24707 6798
"63" 63 57317 6416 5708
"64" 64 65576 5952 2302
"65" 65 61361 5782 3587
"66" 66 31001 11060 8221
"67" 67 64793 13212 8477
"68" 68 29147 11343 6891
"69" 69 5045 3063 4031
"70" 70 8936 7863 6687
"71" 71 8562 4321 3260
"72" 72 21215 2089 1849
"73" 73 1108 3348 2053
"74" 74 2358 1461 2118
"75" 75 9697 2904 1987
"76" 76 1055 2738 1426
"77" 77 11145 1714 953
"78" 78 10567 1828 2660
"79" 79 8026 1074 1192
"80" 80 5443 3471 664
"81" 81 12308 2124 799
"82" 82 1527 515 1407
"83" 83 4166 935 598
"84" 84 6502 371 1669
"85" 85 911 1284 307
"86" 86 1988 929 439
"87" 87 8484 969 406
"88" 88 545 729 644
"89" 89 2732 547 121
"90" 90 1378 538 275
"91" 91 3766 681 426
"92" 92 161 758 151
"93" 93 1291 429 530
"94" 94 560 796 219
"95" 95 4459 716 870
"96" 96 1885 1167 718
"97" 97 5180 408 726
"98" 98 5840 1758 300
"99" 99 5287 2100 387
"100" 100 7087 1470 603
"101" 101 4189 662 1146
"102" 102 10565 2349 1270
"103" 103 8364 1827 950
"104" 104 18990 2236 1769
"105" 105 7762 9117 699
"106" 106 15693 1299 591
"107" 107 9429 3904 1210
"108" 108 20572 6284 2810
"109" 109 23751 12235 2298
"110" 110 29975 11123 2201
"111" 111 40618 5116 4607
"112" 112 39101 5631 1566
"113" 113 40142 8992 3209
"114" 114 44870 8336 4976
"115" 115 56211 12211 7673
"116" 116 5862 4812 3060
"117" 117 62977 2337 4422
"118" 118 49858 7591 5978
"119" 119 59976 11917 9946
"120" 120 40090 2380 5540
"121" 121 9303 10086 690
"122" 122 7196 8923 2378
"123" 123 15384 7001 1259
"124" 124 22544 10490 1636
"125" 125 9558 7971 4360
"126" 126 11596 4822 3270
"127" 127 18446 3321 3402
"128" 128 3916 4108 1217
"129" 129 4579 1703 420
"130" 130 4470 1134 1439
"131" 131 4417 1378 1148
"132" 132 3452 1220 480
"133" 133 4033 1147 106
"134" 134 2268 227 1189
"135" 135 3758 671 246
"136" 136 3040 982 854
"137" 137 7126 1018 515
"138" 138 3941 475 270
"139" 139 2527 360 586
"140" 140 2674 1464 394
"141" 141 1084 1284 810
"142" 142 3115 748 758
"143" 143 5650 541 454
"144" 144 967 664 562
"145" 145 1507 357 527
"146" 146 7804 608 678
"147" 147 4346 1291 894
"148" 148 6957 2733 477
"149" 149 12449 1673 1335
"150" 150 4056 2498 988
"151" 151 5556 4598 469
"152" 152 4064 4150 476
"153" 153 15830 4361 1602
"154" 154 27551 5391 2157
