"time" "cases1" "cases2" "cases3"
"1" 1 19437 4628 2784
"2" 2 20635 4810 3043
"3" 3 24666 5909 3619
"4" 4 28778 6760 4124
"5" 5 31635 7549 4673
"6" 6 33578 8011 4805
"7" 7 35548 8564 5077
"8" 8 37339 9083 5642
"9" 9 40574 9887 6103
"10" 10 44643 10869 6426
"11" 11 42510 10435 6416
"12" 12 42452 10457 6224
"13" 13 44472 11022 6716
"14" 14 43541 10867 6513
"15" 15 37659 9490 5655
"16" 16 31277 7794 4652
"17" 17 29041 7432 4324
"18" 18 24118 6143 3725
"19" 19 20535 5056 2978
"20" 20 18528 4762 2783
"21" 21 14576 3510 2274
"22" 22 12889 3322 2034
"23" 23 11159 3063 1653
"24" 24 9288 2360 1359
"25" 25 8325 2091 1221
"26" 26 7236 1759 1095
"27" 27 5644 1484 822
"28" 28 5257 1266 729
"29" 29 4468 1089 735
"30" 30 3940 1024 604
"31" 31 3914 937 567
"32" 32 3224 782 485
"33" 33 2918 698 436
"34" 34 2288 531 350
"35" 35 2283 590 386
"36" 36 2375 552 360
"37" 37 2246 566 332
"38" 38 2349 673 337
"39" 39 2390 542 330
"40" 40 2500 595 368
"41" 41 2809 630 350
"42" 42 3055 701 452
"43" 43 3553 867 494
"44" 44 3571 807 579
"45" 45 4294 957 582
"46" 46 5352 1240 734
"47" 47 5868 1410 792
"48" 48 7588 1678 1029
"49" 49 8576 1926 1174
"50" 50 10161 2514 1480
"51" 51 12786 3161 1767
"52" 52 15430 3564 2091
"53" 53 18449 4363 2559
"54" 54 20015 4582 2932
"55" 55 23948 5575 3238
"56" 56 30471 7202 4316
"57" 57 33388 7824 4849
"58" 58 38668 9233 5764
"59" 59 37425 8979 5471
"60" 60 40641 9573 5862
"61" 61 41896 10100 5925
"62" 62 44945 10958 6578
"63" 63 43383 10652 6765
"64" 64 42982 10391 6260
"65" 65 43215 10655 6459
"66" 66 41814 10390 6217
"67" 67 40727 9922 6044
"68" 68 33729 8474 5094
"69" 69 29272 7556 4502
"70" 70 26532 6577 4026
"71" 71 25645 6242 3969
"72" 72 20658 5275 3089
"73" 73 17055 4474 2529
"74" 74 13379 3476 1874
"75" 75 11784 2941 1750
"76" 76 9317 2192 1429
"77" 77 8166 2142 1227
"78" 78 7602 1862 1139
"79" 79 5984 1517 838
"80" 80 6350 1534 902
"81" 81 4567 1135 730
"82" 82 4105 1050 638
"83" 83 4158 935 604
"84" 84 3573 900 515
"85" 85 3105 798 445
"86" 86 2463 560 375
"87" 87 2574 655 404
"88" 88 2550 662 345
"89" 89 2385 580 347
"90" 90 2541 620 401
"91" 91 2424 579 355
"92" 92 2555 677 389
"93" 93 2683 669 347
"94" 94 2635 624 322
"95" 95 3292 852 541
"96" 96 3981 992 619
"97" 97 4139 945 561
"98" 98 4850 1049 659
"99" 99 5417 1326 783
"100" 100 5980 1426 819
"101" 101 6733 1569 981
"102" 102 7621 1724 1045
"103" 103 8004 1962 1183
"104" 104 10113 2317 1410
"105" 105 13082 3070 1969
"106" 106 14243 3234 2001
"107" 107 19177 4452 2674
"108" 108 22035 5165 3039
"109" 109 24323 5517 3424
"110" 110 25958 5904 3598
"111" 111 30712 7276 4294
"112" 112 34051 7816 4764
"113" 113 35114 8319 5040
"114" 114 38460 9175 5656
"115" 115 41837 10242 6013
"116" 116 42157 10169 6153
"117" 117 40601 9630 5874
"118" 118 37312 8845 5452
"119" 119 37475 9185 5485
"120" 120 34493 8716 4967
"121" 121 31413 7836 4715
"122" 122 28422 7129 4373
"123" 123 21907 5323 3306
"124" 124 22328 5250 3299
"125" 125 18505 4618 2834
"126" 126 16062 3839 2371
"127" 127 14010 3524 2278
"128" 128 11909 2939 1702
"129" 129 10353 2495 1455
"130" 130 8939 2199 1379
"131" 131 6760 1589 1083
"132" 132 6391 1644 963
"133" 133 5774 1408 852
"134" 134 5330 1311 878
"135" 135 4733 1126 687
"136" 136 4495 1115 620
"137" 137 4319 1027 655
"138" 138 4055 939 598
"139" 139 3535 889 509
"140" 140 3423 784 499
"141" 141 3513 914 523
"142" 142 3934 1012 525
"143" 143 4242 1016 612
"144" 144 4538 1028 670
"145" 145 4358 905 605
"146" 146 4495 1070 641
"147" 147 5357 1275 806
"148" 148 6320 1440 868
"149" 149 7499 1680 1035
"150" 150 7006 1718 1085
"151" 151 9630 2271 1488
"152" 152 10994 2658 1614
"153" 153 14396 3309 2157
"154" 154 17161 3842 2271
"155" 155 19188 4494 2742
"156" 156 22905 5295 3295
"157" 157 27887 6448 3835
"158" 158 32486 7613 4519
"159" 159 40693 9322 5680
"160" 160 44497 10489 6322
"161" 161 49860 11744 7237
"162" 162 58903 14105 8728
"163" 163 60184 14469 8839
"164" 164 59094 14629 8726
"165" 165 65884 16376 10037
"166" 166 69955 17248 10428
"167" 167 68061 17171 10123
"168" 168 57996 14896 8993
"169" 169 54824 14281 8436
"170" 170 49564 12715 7892
"171" 171 46189 12175 7217
"172" 172 37430 9760 5981
"173" 173 32155 8144 4991
"174" 174 29068 7937 4631
"175" 175 24428 6282 3901
"176" 176 17997 4849 2927
"177" 177 15519 4063 2525
"178" 178 13043 3296 2051
"179" 179 10758 2807 1717
"180" 180 9283 2464 1436
"181" 181 7682 2008 1170
"182" 182 5883 1394 865
"183" 183 5183 1323 780
