"time" "cases1" "cases2" "cases3"
"1" 1 30468 755 2551
"2" 2 58688 1194 7570
"3" 3 53509 3250 7186
"4" 4 31174 13021 14922
"5" 5 45185 8760 2985
"6" 6 60946 10283 2774
"7" 7 65186 15918 16899
"8" 8 30042 3623 2889
"9" 9 41262 28743 1509
"10" 10 38648 9240 9103
"11" 11 37356 3875 27092
"12" 12 48470 19042 7767
"13" 13 21306 11205 6684
"14" 14 36517 26668 11349
"15" 15 93256 14631 5404
"16" 16 7907 10841 4588
"17" 17 16280 5795 8110
"18" 18 42738 10434 5749
"19" 19 14869 3661 8158
"20" 20 20241 9937 3103
"21" 21 12338 770 2292
"22" 22 11762 6327 1855
"23" 23 4150 2181 2116
"24" 24 12425 1466 2089
"25" 25 16951 3083 5103
"26" 26 4836 1946 1377
"27" 27 7935 2798 680
"28" 28 3619 1504 690
"29" 29 7921 788 893
"30" 30 5020 1188 534
"31" 31 5944 675 523
"32" 32 5432 1123 820
"33" 33 7077 402 176
"34" 34 644 218 296
"35" 35 4408 185 1459
"36" 36 4380 340 878
"37" 37 1081 368 353
"38" 38 1654 138 1172
"39" 39 2134 1688 116
"40" 40 2952 386 391
"41" 41 4748 1701 400
"42" 42 2093 677 44
"43" 43 3134 1338 93
"44" 44 5878 1316 30
"45" 45 2055 1032 256
"46" 46 2551 2152 1113
"47" 47 1905 1218 541
"48" 48 11506 1142 681
"49" 49 17903 611 1238
"50" 50 19619 1905 823
"51" 51 1923 1212 938
"52" 52 8870 2987 267
"53" 53 25437 1872 1955
"54" 54 14166 2096 911
"55" 55 11191 5765 1237
"56" 56 10907 5147 3747
"57" 57 4881 7950 4706
"58" 58 10858 4599 4317
"59" 59 10303 1695 2233
"60" 60 5356 11662 11569
"61" 61 118347 10283 2237
"62" 62 15328 8848 5009
"63" 63 19955 5840 16255
"64" 64 39015 10957 1809
"65" 65 57813 2623 2202
"66" 66 29869 11874 1884
"67" 67 3677 6621 4283
"68" 68 17539 2302 4827
"69" 69 11516 1070 956
"70" 70 22505 16870 1818
"71" 71 3744 3869 928
"72" 72 17872 13323 1268
"73" 73 30155 1844 1749
"74" 74 15615 1133 427
"75" 75 8082 549 3210
"76" 76 13709 5393 1366
"77" 77 7693 3189 725
"78" 78 8935 1133 691
"79" 79 9485 3179 202
"80" 80 9829 403 960
"81" 81 1518 562 824
"82" 82 1041 929 619
"83" 83 4369 601 184
"84" 84 6695 2272 358
"85" 85 1020 111 159
"86" 86 3504 623 123
"87" 87 4410 1108 746
"88" 88 1226 328 845
"89" 89 2972 164 96
"90" 90 1448 843 171
"91" 91 2507 719 440
"92" 92 2137 1040 363
"93" 93 388 1079 632
"94" 94 8171 770 423
"95" 95 5621 1240 194
"96" 96 6267 753 1056
"97" 97 7495 704 493
"98" 98 6340 1380 907
"99" 99 5011 5098 218
"100" 100 9416 2636 1975
"101" 101 16382 3904 1585
"102" 102 6279 3814 3179
"103" 103 5725 1516 615
"104" 104 23986 836 2904
"105" 105 23379 5423 1675
"106" 106 13643 6955 760
"107" 107 5099 7408 4452
"108" 108 104902 5271 105
"109" 109 61757 1054 3245
"110" 110 37036 13190 3900
"111" 111 30431 9147 8063
"112" 112 42451 7043 9248
"113" 113 37807 2607 1283
"114" 114 35054 35273 2110
"115" 115 27249 10965 9958
"116" 116 47127 8343 7172
"117" 117 32319 10200 6876
"118" 118 34620 8292 2026
"119" 119 14528 6553 12360
"120" 120 74497 13701 13988
"121" 121 28339 10204 3607
"122" 122 5003 9407 7364
"123" 123 49946 4368 3956
"124" 124 29188 597 983
"125" 125 25637 8231 3040
"126" 126 10944 4208 4560
"127" 127 33674 1255 1364
"128" 128 8066 521 844
"129" 129 11252 1845 509
"130" 130 1293 2745 1426
"131" 131 13556 561 622
"132" 132 18363 402 3007
"133" 133 2353 1883 324
"134" 134 3983 317 638
"135" 135 14613 1810 228
"136" 136 978 1029 602
"137" 137 1079 795 512
"138" 138 4029 199 547
"139" 139 2925 705 351
"140" 140 792 561 199
"141" 141 2385 1213 92
"142" 142 4600 244 286
"143" 143 2448 486 646
"144" 144 4172 500 560
"145" 145 12171 823 120
"146" 146 6773 1484 375
"147" 147 2955 448 1346
"148" 148 1805 1020 295
"149" 149 17702 1079 41
"150" 150 12168 790 533
"151" 151 5187 220 1709
"152" 152 2576 2075 650
"153" 153 8601 1221 1609
"154" 154 16937 1638 2750
"155" 155 7454 9618 2560
"156" 156 17007 4835 905
"157" 157 10658 3597 3654
"158" 158 24532 5045 5849
"159" 159 13907 1417 1216
"160" 160 32662 1242 2567
"161" 161 9320 13766 985
"162" 162 47666 3329 6095
"163" 163 23413 4638 1648
"164" 164 15193 4390 4700
"165" 165 36892 5310 9229
"166" 166 28292 4708 8646
"167" 167 29979 30176 21773
"168" 168 96966 1754 2748
"169" 169 67928 3959 9783
"170" 170 37294 12974 8949
"171" 171 17261 4793 4536
"172" 172 63013 4115 6430
"173" 173 6923 2269 7149
"174" 174 29983 5729 3234
"175" 175 14144 6371 7640
"176" 176 14998 4896 1068
"177" 177 10122 7342 2007
"178" 178 9847 1938 2232
"179" 179 11432 5407 632
"180" 180 4459 4538 3959
"181" 181 16809 1188 168
"182" 182 4794 4663 355
"183" 183 4969 3241 330
"184" 184 6333 1309 720
"185" 185 3800 836 527
"186" 186 4495 1642 141
"187" 187 2578 1497 283
"188" 188 411 743 265
"189" 189 555 446 317
"190" 190 4042 839 139
"191" 191 2937 1457 198
"192" 192 1341 684 161
"193" 193 1178 435 126
"194" 194 1212 59 252
"195" 195 1904 457 142
"196" 196 966 190 194
"197" 197 650 655 111
"198" 198 3772 334 97
"199" 199 2654 458 700
"200" 200 7646 1065 1190
"201" 201 5570 2216 309
"202" 202 2588 1420 371
"203" 203 612 3348 651
